fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2,area_promedio_m2,area_min_m2,area_max_m2,conf_promedio
microsoft,19256,EL TAMBO,34366,,,,,
microsoft,76109,BUENAVENTURA,33104,,,,,
microsoft,19698,SANTANDER DE QUILICHAO,30842,,,,,
microsoft,52835,SAN ANDRES DE TUMACO,29307,,,,,
microsoft,18001,FLORENCIA,26897,,,,,
microsoft,19130,CAJIBÍO,23771,,,,,
microsoft,18753,SAN VICENTE DEL CAGUÁN,23587,,,,,
microsoft,95001,SAN JOSÉ DEL GUAVIARE,21446,,,,,
microsoft,86568,PUERTO ASÍS,21234,,,,,
microsoft,86320,ORITO,17840,,,,,
microsoft,73168,CHAPARRAL,16848,,,,,
microsoft,19473,MORALES,16396,,,,,
microsoft,86865,VALLE DEL GUAMUEZ,14349,,,,,
microsoft,18150,CARTAGENA DEL CHAIRÁ,14037,,,,,
microsoft,50350,LA MACARENA,12895,,,,,
microsoft,19137,CALDONO,12546,,,,,
microsoft,86001,MOCOA,12229,,,,,
microsoft,19110,BUENOS AIRES,11444,,,,,
microsoft,18592,PUERTO RICO,11430,,,,,
microsoft,73555,PLANADAS,11274,,,,,
